Country,CurrencyName,CurrencyCode
Albania,Lek,ALL
Algeria,Algerian Dinar,DZD
Argentina,Argentine Peso,ARS
Armenia,Armenian Dram,AMD
Aruba,Aruban Florin,AWG
Australia,Australian Dollar,AUD
Bahamas,Bahamian Dollar,BSD
Bahrain,Bahraini Dinar,BHD
Bangladesh,Taka,BDT
Barbados,Barbados Dollar,BBD
Belize,Belize Dollar,BZD
Bermuda,Bermudian Dollar,BMD
Bhutan,Ngultrum,BTN
"Bolivia, Plurinational State of",Boliviano,BOB
Botswana,Pula,BWP
Brunei Darussalam,Brunei Dollar,BND
Burundi,Burundi Franc,BIF
Cabo Verde,Cabo Verde Escudo,CVE
Cambodia,Riel,KHR
Canada,Canadian Dollar,CAD
Cayman Islands,Cayman Islands Dollar,KYD
Chile,Chilean Peso,CLP
China,Yuan Renminbi,CNY
Colombia,Colombian Peso,COP
Comoros,Comoro Franc,KMF
Costa Rica,Costa Rican Colon,CRC
Croatia,Kuna,HRK
Cuba,Cuban Peso,CUP
Czechia,Czech Koruna,CZK
Denmark,Danish Krone,DKK
Djibouti,Djibouti Franc,DJF
Dominican Republic,Dominican Peso,DOP
Egypt,Egyptian Pound,EGP
El Salvador,El Salvador Colon,SVC
Eritrea,Nakfa,ERN
Eswatini,Lilangeni,SZL
Falkland Islands (Malvinas),Falkland Islands Pound,FKP
Fiji,Fiji Dollar,FJD
Gambia,Dalasi,GMD
Gibraltar,Gibraltar Pound,GIP
Guatemala,Quetzal,GTQ
Guinea,Guinea Franc,GNF
Guyana,Guyana Dollar,GYD
Haiti,Gourde,HTG
Honduras,Lempira,HNL
Hong Kong,Hong Kong Dollar,HKD
Hungary,Forint,HUF
Iceland,Iceland Krona,ISK
India,Indian Rupee,INR
Indonesia,Rupiah,IDR
"Iran, Islamic Republic of",Iranian Rial,IRR
Iraq,Iraqi Dinar,IQD
Israel,New Israeli Sheqel,ILS
Jamaica,Jamaican Dollar,JMD
Japan,Yen,JPY
Jordan,Jordanian Dinar,JOD
Kazakhstan,Tenge,KZT
Kenya,Kenyan Shilling,KES
"Korea, Democratic People's Republic of",North Korean Won,KPW
"Korea, Republic of",Won,KRW
Kuwait,Kuwaiti Dinar,KWD
Kyrgyzstan,Som,KGS
Lao People's Democratic Republic,Kip,LAK
Lebanon,Lebanese Pound,LBP
Lesotho,Loti,LSL
Liberia,Liberian Dollar,LRD
Libya,Libyan Dinar,LYD
Macao,Pataca,MOP
Malawi,Malawi Kwacha,MWK
Malaysia,Malaysian Ringgit,MYR
Maldives,Rufiyaa,MVR
Mauritania,Ouguiya,MRO
Mauritius,Mauritius Rupee,MUR
Mexico,Mexican Peso,MXN
"Moldova, Republic of",Moldovan Leu,MDL
Mongolia,Tugrik,MNT
Morocco,Moroccan Dirham,MAD
Myanmar,Kyat,MMK
Namibia,Namibia Dollar,NAD
Nepal,Nepalese Rupee,NPR
New Zealand,New Zealand Dollar,NZD
Nicaragua,Cordoba Oro,NIO
Nigeria,Naira,NGN
North Macedonia,Denar,MKD
Norway,Norwegian Krone,NOK
Oman,Rial Omani,OMR
Pakistan,Pakistan Rupee,PKR
Papua New Guinea,Kina,PGK
Paraguay,Guarani,PYG
Peru,Sol,PEN
Philippines,Philippine Peso,PHP
Qatar,Qatari Rial,QAR
Russian Federation,Russian Ruble,RUB
Rwanda,Rwanda Franc,RWF
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena Pound,SHP
Samoa,Tala,WST
Sao Tome and Principe,Dobra,STD
Saudi Arabia,Saudi Riyal,SAR
Seychelles,Seychelles Rupee,SCR
Sierra Leone,Leone,SLL
Singapore,Singapore Dollar,SGD
Solomon Islands,Solomon Islands Dollar,SBD
Somalia,Somali Shilling,SOS
South Africa,Rand,ZAR
South Sudan,South Sudanese Pound,SSP
Sri Lanka,Sri Lanka Rupee,LKR
Sweden,Swedish Krona,SEK
Switzerland,Swiss Franc,CHF
Syrian Arab Republic,Syrian Pound,SYP
"Tanzania, United Republic of",Tanzanian Shilling,TZS
Thailand,Baht,THB
Tonga,Paâ€™anga,TOP
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD
Tunisia,Tunisian Dinar,TND
Uganda,Uganda Shilling,UGX
United Arab Emirates,UAE Dirham,AED
United Kingdom,Pound Sterling,GBP
United States,US Dollar,USD
Uruguay,Peso Uruguayo,UYU
Uzbekistan,Uzbekistan Sum,UZS
Vanuatu,Vatu,VUV
Viet Nam,Dong,VND
